Tweet_Number,Positive,Negative,Neutral
26,,: We have made a survey entitled 'THE IMPACT OF OMISSION'. Our hope is that with irrefutable evidence of shortcomings in the tea…,,": Our PayBacktheTamponTax campaign has been featured in
👉  &amp;
👉 "
27,,": Some beautiful words penned by KIN co-founder  



Love, rage and solidarity to our fa…",,": Beijing25 Did you know:
104 countries have laws that prevent women from working certain jobs
59 countries have no laws on…"
28,,": For people who actively want to be support and be an ally right now, I have written a thread. ",,_Rev: This IWD2020  let's stand up to brands and ask them to empower every woman and girl in their supply chain. FashionRevolutio…
29,,"_amalaraj: I've not seen much info about how people in the UK can support the BLM movement here, so i've made a document which ha…",,
30,,Great to see _App updating their ratings to reflect how brands are treating their workers during the pand… ,,
31,,": WAW stands by this powerful op-ed penned by our sisters , , and , who speak for al…",,
32,,": Human rights are for everyone – no matter who you are or whom you love.
❤️🧡💛💚💙💜

Sunday is the International Day against Homophobia…",,
33,,": ""I hope my voice may perpetuate the great work of my life.""

In the only known recording of Florence Nightingale she paid…",,
34,,: Fancy jumping on board our GreenRider? We're excited to announce the launch of our latest campaign with  to h…,,
35,,covid19uk is having a HUGE impact on grassroots women’s organisations’ stretched resources.  is raisi… ,,
36,,: We are one of the 20+ organisations calling on the Govt to protect access to justice for workers who have been subjected…,,
37,,": Which brands are acting responsibly toward suppliers and workers?

We created a COVID19 Brand Tracker to provide a regu…",,
38,,: We are glad to join our sisters at  and others including    calling on th…,,
39,,👏🏻 Wow. So important. Thank you. 👧👧🏽👧🏻👧🏾👧🏿👧🏼👶🏻👶🏼👶🏽👶🏾👶🏿👩👩🏽👩🏼👩🏻👩🏾👩🏿👩‍🎓👩🏽‍🎓👩🏾‍🎓👩🏿‍🎓👩🏻‍🎓👩🏼‍🎓 ,,
40,, 's podcast unlockingus helping me so much and keeping me company in these times. 🙏 Just love her so ve… ,,
41,,": ""I have to say that the future is looking very bright. Young people have got a fantastic handle on gender and what it me…",,
42,,: FoodForLondonNow: Help us feed the capital   ,,
43,,"_Women: The CSW64 Political Declaration has been adopted. Here's what Member States have agreed to focus on:

👏Education
👏Women in l…",,
44,,": 🤩Breaking News:
We have achieved another historic milestone!

We're proud to announce our new SeeJane 2020 Film Report that foun…",,
